geoid,centroid_lat,centroid_lon
17031020100,42.015721,-87.687117
17031280800,41.878596,-87.6889
17031420300,41.783224,-87.598698
17031130200,41.98085,-87.736066
17031240200,41.912441,-87.670181
17031611800,41.797647,-87.667113
17031030300,41.994388,-87.672535
17031030400,41.986951,-87.672078
17031020400,42.008488,-87.685912
17031080202,41.905858,-87.6309
17031060200,41.957903,-87.671517
17031221200,41.921083,-87.70465
17031061200,41.949059,-87.661642
17031030200,41.994441,-87.66523
17031030900,41.979795,-87.671446
17031031000,41.972437,-87.671109
17031980000,41.979956,-87.903824
17031600600,41.842385,-87.655581
17031420600,41.783013,-87.613277
17031110100,41.987476,-87.769674
17031031400,41.962378,-87.643601
17031040900,41.963184,-87.683854
17031050200,41.95774,-87.683717
17031050300,41.957678,-87.691519
17031031700,41.965447,-87.663196
17031610400,41.810399,-87.66745
17031050600,41.950548,-87.676182
17031071700,41.912866,-87.64107
17031031800,41.967011,-87.670621
17031050500,41.950448,-87.683508
17031071600,41.916472,-87.641182
17031671400,41.773793,-87.67623
17031062300,41.941627,-87.661442
17031630400,41.797255,-87.698781
17031010100,42.021255,-87.669831
17031680600,41.78328,-87.652164
17031030500,41.987226,-87.664936
17031171100,41.942053,-87.781287
17031180100,41.934485,-87.798632
17031251900,41.883811,-87.760094
17031020500,42.001313,-87.684198
17031081300,41.898335,-87.620753
17031081000,41.900265,-87.632108
17031130100,41.991104,-87.720808
17031170200,41.949353,-87.781519
17031170300,41.949124,-87.796827
17031170400,41.948908,-87.812711
17031170500,41.950078,-87.828896
17031170600,41.941294,-87.830702
17031170700,41.941486,-87.822163
17031170800,41.941576,-87.812371
17031251400,41.890957,-87.770124
17031260300,41.884277,-87.733138
17031260500,41.876663,-87.737727
17031260600,41.877108,-87.732867
17031260700,41.877056,-87.727995
17031260800,41.877085,-87.723097
17031050700,41.945071,-87.67606
17031050900,41.944946,-87.685777
17031051000,41.941302,-87.685731
17031051100,41.941365,-87.680827
17031051200,41.941422,-87.675953
17031170900,41.936196,-87.811606
17031171000,41.941807,-87.796524
17031190100,41.935217,-87.744388
17031222200,41.915909,-87.683825
17031222500,41.915682,-87.699587
17031222600,41.915638,-87.704479
17031251500,41.891104,-87.760354
17031251600,41.891407,-87.751804
17031251700,41.891384,-87.744479
17031251800,41.884144,-87.747888
17031252000,41.883676,-87.76988
17031130300,41.986559,-87.713392
17031530100,41.681853,-87.61794
17031190200,41.935114,-87.751649
17031190300,41.934986,-87.761463
17031190800,41.927819,-87.751362
17031260100,41.884371,-87.723331
17031260200,41.884324,-87.72823
17031061800,41.94649,-87.647115
17031410200,41.801672,-87.594268
17031222900,41.915565,-87.720075
17031241000,41.907969,-87.694534
17031230300,41.911786,-87.714987
17031190900,41.927923,-87.744105
17031191200,41.920143,-87.760827
17031200100,41.935055,-87.737623
17031200200,41.927853,-87.735629
17031200300,41.923481,-87.734128
17031222700,41.915502,-87.710207
17031230100,41.912007,-87.704364
17031230200,41.911869,-87.710085
17031230400,41.91182,-87.721552
17031230500,41.911689,-87.733943
17031351100,41.827754,-87.61419
17031081900,41.89799,-87.641487
17031770500,42.005742,-87.927023
17031611700,41.797599,-87.671976
17031300500,41.847425,-87.72194
17031381500,41.810192,-87.62286
17031420500,41.7831,-87.608426
17031081500,41.892555,-87.626226
17031081600,41.892107,-87.628876
17031081700,41.892066,-87.631867
17031081800,41.893269,-87.637801
17031222800,41.915434,-87.715094
17031050800,41.945011,-87.680931
17031210100,41.942869,-87.701332
17031210400,41.935745,-87.730306
17031230700,41.906323,-87.72154
17031230800,41.905839,-87.714952
17031230900,41.906692,-87.710351
17031550200,41.653383,-87.564031
17031823304,41.691719,-87.693436
17031670500,41.786578,-87.676404
17031580800,41.810219,-87.686643
17031300800,41.848111,-87.707582
17031191100,41.919629,-87.750976
17031230600,41.906155,-87.733999
17031242300,41.899507,-87.6796
17031242200,41.899589,-87.674719
17031032100,41.958154,-87.653017
17031060900,41.949823,-87.644026
17031061000,41.94922,-87.65197
17031210700,41.935703,-87.703839
17031291600,41.857642,-87.692217
17031400400,41.791126,-87.618321
17031120100,42.001982,-87.775007
17031062000,41.942577,-87.647079
17031611200,41.804994,-87.662442
17031300900,41.84818,-87.702699
17031061100,41.949141,-87.656805
17031061500,41.945282,-87.661545
17031062100,41.942691,-87.65177
17031062200,41.942585,-87.656644
17031090200,42.005594,-87.813096
17031090100,42.015256,-87.813588
17031260400,41.884214,-87.73804
17031351500,41.827239,-87.627727
17031770800,41.958329,-87.881947
17031081100,41.900223,-87.629108
17031210800,41.935746,-87.698933
17031210900,41.935439,-87.693337
17031241200,41.906707,-87.684685
17031031200,41.972709,-87.657341
17031063000,41.936311,-87.651563
17031062500,41.941487,-87.671106
17031062600,41.935975,-87.670984
17031062700,41.936086,-87.666109
17031062800,41.936159,-87.661266
17031062900,41.936237,-87.656411
17031062400,41.941556,-87.66629
17031090300,41.999112,-87.816364
17031063100,41.938232,-87.646781
17031063200,41.938702,-87.638389
17031063400,41.93466,-87.646731
17031242700,41.897425,-87.699374
17031070400,41.928966,-87.656155
17031100100,41.989584,-87.783013
17031100300,41.988733,-87.80426
17031140100,41.971084,-87.705794
17031140200,41.970695,-87.713004
17031140400,41.971537,-87.738943
17031140500,41.965362,-87.731832
17031070200,41.929077,-87.646292
17031070300,41.929047,-87.651311
17031070500,41.928945,-87.660892
17031070700,41.929263,-87.673803
17031070600,41.928763,-87.665676
17031100400,41.988969,-87.818042
17031100600,41.979205,-87.797401
17031100700,41.972123,-87.79763
17031110200,41.98007,-87.773444
17031150200,41.960675,-87.752413
17031150300,41.960518,-87.762287
17031140800,41.964495,-87.702765
17031231200,41.899062,-87.721316
17031231100,41.899254,-87.715068
17031242400,41.899422,-87.684489
17031242500,41.899446,-87.68932
17031671600,41.7695,-87.661512
17031120200,41.994532,-87.757611
17031120300,41.991112,-87.740066
17031120400,41.977236,-87.752163
17031231500,41.891736,-87.718652
17031071100,41.921778,-87.651061
17031071000,41.921701,-87.655911
17031071200,41.921855,-87.646211
17031071300,41.92178,-87.641459
17031110300,41.975291,-87.783235
17031220300,41.928465,-87.695086
17031220400,41.928432,-87.699968
17031220500,41.928334,-87.704988
17031240300,41.91237,-87.675068
17031240500,41.911969,-87.683628
17031060400,41.950673,-87.666536
17031060500,41.95272,-87.660501
17031240800,41.912048,-87.699487
17031240600,41.912134,-87.68971
17031240700,41.912088,-87.694599
17031240900,41.904716,-87.701886
17031242600,41.90056,-87.694198
17031310600,41.856333,-87.659564
17031310700,41.85599,-87.664905
17031310800,41.855933,-87.668573
17031020602,42.001316,-87.693637
17031310900,41.855772,-87.674675
17031510100,41.713103,-87.54989
17031510200,41.714265,-87.56005
17031561100,41.78887,-87.77191
17031190701,41.929796,-87.761421
17031020901,41.994227,-87.686078
17031010202,42.016047,-87.673325
17031570100,41.816201,-87.718913
17031570200,41.81438,-87.730718
17031570300,41.804145,-87.730791
17031570400,41.804992,-87.71913
17031570500,41.798601,-87.732455
17031690400,41.769259,-87.620203
17031691300,41.754681,-87.619847
17031691400,41.754846,-87.610169
17031691500,41.755053,-87.600266
17031320400,41.877706,-87.617362
17031580100,41.828055,-87.690747
17031580200,41.826772,-87.699347
17031580300,41.825187,-87.708934
17031580400,41.815276,-87.709185
17031580600,41.817398,-87.692032
17031580700,41.817494,-87.686846
17031681300,41.761181,-87.639843
17031681400,41.761522,-87.64917
17031690300,41.768669,-87.629009
17031690500,41.76818,-87.612104
17031690900,41.762143,-87.610345
17031691000,41.761965,-87.620015
17031700100,41.753593,-87.695309
17031700200,41.752989,-87.723784
17031320600,41.870648,-87.62216
17031330200,41.861346,-87.630532
17031590500,41.826664,-87.679905
17031590600,41.826833,-87.672924
17031671200,41.7767,-87.666583
17031671100,41.776777,-87.661715
17031671300,41.773902,-87.671349
17031671500,41.768172,-87.669631
17031671800,41.761401,-87.656448
17031671900,41.761326,-87.66128
17031710100,41.753392,-87.641971
17031710200,41.755113,-87.651425
17031710400,41.753918,-87.670932
17031710500,41.747532,-87.670788
17031710600,41.74766,-87.660944
17031710800,41.747837,-87.648813
17031340300,41.842804,-87.635787
17031430300,41.769717,-87.589361
17031340500,41.834518,-87.632917
17031340600,41.827286,-87.632651
17031430200,41.769761,-87.581351
17031510300,41.715738,-87.574977
17031520100,41.720299,-87.530486
17031590700,41.826807,-87.663764
17031600400,41.841719,-87.643933
17031830600,42.001698,-87.673575
17031830800,41.965142,-87.676579
17031830700,41.96098,-87.659166
17031830900,41.92863,-87.685373
17031835200,41.796644,-87.745287
17031839900,41.827107,-87.648605
17031839700,41.833095,-87.652181
17031839800,41.835067,-87.643162
17031834800,41.783634,-87.645089
17031834700,41.79069,-87.645034
17031832000,41.946293,-87.654296
17031832500,41.921884,-87.664117
17031832300,41.91921,-87.671448
17031838300,41.901566,-87.638404
17031831800,41.978224,-87.716487
17031831700,41.952654,-87.745254
17031835100,41.790158,-87.686247
17031835000,41.78285,-87.68605
17031843700,41.944849,-87.690802
17031220702,41.929369,-87.724231
17031842100,41.895279,-87.73361
17031843300,41.863764,-87.69255
17031843000,41.867936,-87.722749
17031836500,41.828273,-87.600614
17031843900,41.776194,-87.57959
17031490901,41.696058,-87.616268
17031831100,41.942856,-87.717495
17031831500,41.927596,-87.788007
17031831600,41.925611,-87.797615
17031831200,41.915321,-87.73226
17031831000,41.914798,-87.676996
17031843100,41.86075,-87.700712
17031842900,41.863139,-87.672937
17031843500,41.838217,-87.696754
17031842000,41.83496,-87.62517
17031770901,41.970556,-87.81686
17031832400,41.915742,-87.692259
17031832900,41.874175,-87.661935
17031840300,41.832097,-87.681881
17031838600,41.867824,-87.700824
17031839600,41.827443,-87.619249
17031834900,41.772299,-87.656736
17031030603,41.985475,-87.658396
17031832200,41.92048,-87.679974
17031836700,41.891704,-87.702174
17031836800,41.885045,-87.713863
17031836600,41.898697,-87.708806
17031833000,41.885286,-87.657249
17031842500,41.776951,-87.623216
17031841800,41.766306,-87.59942
17031980100,41.785981,-87.7509
