"pin","year","class","township_code","case_no","hearing_type","subkey","appeal_type","status","mailed_bldg","mailed_land","mailed_tot","certified_bldg","certified_land","certified_tot","change","reason_code1","reason_desc1","reason_code2","reason_desc2","reason_code3","reason_desc3","agent_code","agent_name","row_id"
"04262020401008","2003","299","25","130","Current year appeal","1","condo/coop",,"30532","1717","32249","30532","1717","32249","no change","16","This is due to your property's uniformity with comparable properties.","16","This is due to your property's uniformity with comparable properties.",,,,,"042620204010082003130A1"
"04262020401009","2003","299","25","886","Current year appeal","1","condo/coop",,"23488","1321","24809","23488","1321","24809","no change","16","This is due to your property's uniformity with comparable properties.",,,,,,,"042620204010092003886A1"
"04262020401013","2003","299","25","608","Current year appeal","1","condo/coop",,"35788","2013","37801","35788","2013","37801","no change","16","This is due to your property's uniformity with comparable properties.",,,,,,,"042620204010132003608A1"
"04262020401014","2003","299","25","886","Current year appeal","1","condo/coop",,"7043","396","7439","7043","396","7439","no change","16","This is due to your property's uniformity with comparable properties.",,,,,,,"042620204010142003886A1"
"04262020401015","2003","299","25","841","Current year appeal","1","condo/coop",,"30532","1717","32249","30532","1717","32249","no change","16","This is due to your property's uniformity with comparable properties.",,,,,,,"042620204010152003841A1"
"04262020401018","2003","299","25","247","Current year appeal","1","condo/coop",,"30532","1717","32249","30532","1717","32249","no change","16","This is due to your property's uniformity with comparable properties.",,,,,,,"042620204010182003247A1"
"04262030790000","2003","209","25","736","Current year appeal","1","residential",,"106985","17751","124736","106985","17751","124736","no change","16","This is due to your property's uniformity with comparable properties.","16","This is due to your property's uniformity with comparable properties.",,,,,"042620307900002003736A1"
"04262031140000","2003","208","25","51","Current year appeal","1","residential",,"89812","19137","108949","77784","19137","96921","change","1","This is the result of an analysis of comparable properties.","1","This is the result of an analysis of comparable properties.",,,,,"04262031140000200351A1"
"04262040450000","2003","278","25","900","Current year appeal","1","residential",,"82211","13789","96000","82211","13789","96000","no change","27","This is due to an analysis of the sale of the property.",,,,,,,"042620404500002003900A1"
"04262050250000","2003","278","25","6000478","Current year appeal","1","residential",,"44262","12996","57258","39944","12996","52940","change","16","This is due to your property's uniformity with comparable properties.","1","This is the result of an analysis of comparable properties.",,,,,"0426205025000020036000478A1"
"04263000080000","2003","593","25","908","Current year appeal","1","commercial",,"310280","146540","456820","62056","146540","208596","change","7","This is the result of the total vacancy of your property.",,,,,,,"042630000800002003908A1"
"04263000190000","2003","533","25","726","Current year appeal","1","commercial",,"41268","17024","58292","24100","17024","41124","change","7","This is the result of the total vacancy of your property.",,,,,,,"042630001900002003726A1"
"04263000360000","2003","533","25","826","Current year appeal","1","commercial",,"236287","52880","289167","90728","52880","143608","change","5","This is the result of the partial occupancy of your property.",,,,,,,"042630003600002003826A1"
"04263030020000","2003","204","25","38","Current year appeal","1","residential",,"32979","9420","42399","30352","9420","39772","change","16","This is due to your property's uniformity with comparable properties.","1","This is the result of an analysis of comparable properties.",,,,,"04263030020000200338A1"
"04263030030000","2003","278","25","302","Current year appeal","1","residential",,"43064","11886","54950","43064","11886","54950","no change","16","This is due to your property's uniformity with comparable properties.",,,,,,,"042630300300002003302A1"
"04263030170000","2003","204","25","259","Current year appeal","1","residential",,"33490","12660","46150","33490","12660","46150","no change","16","This is due to your property's uniformity with comparable properties.",,,,,,,"042630301700002003259A1"
"04263030180000","2003","204","25","292","Current year appeal","1","residential",,"37660","13048","50708","37660","13048","50708","no change","17","This is due to your property's uniformity with comparable properties. The analysis included an update of your property's characteristics.",,,,,,,"042630301800002003292A1"
"04263030210000","2003","278","25","348","Current year appeal","1","residential",,"32866","12023","44889","32866","12023","44889","no change","16","This is due to your property's uniformity with comparable properties.",,,,,,,"042630302100002003348A1"
"04263040340000","2003","278","25","73","Current year appeal","1","residential",,"44862","12474","57336","44862","12474","57336","no change","16","This is due to your property's uniformity with comparable properties.",,,,,,,"04263040340000200373A1"
"04263080060000","2003","207","25","594","Current year appeal","1","residential",,"31988","10622","42610","31988","10622","42610","no change","28","This is due to a Board of Review decision or reduction.","16","This is due to your property's uniformity with comparable properties.",,,,,"042630800600002003594A1"
"04264000490000","2003","593","25","458","Current year appeal","1","commercial",,"104102","63489","167591","104102","63489","167591","no change","22","This is due to income, market or cost analysis supporting the assessment.",,,,,,,"042640004900002003458A1"
"04264000530000","2003","593","25","458","Current year appeal","1","commercial",,"104102","54000","158102","104102","54000","158102","no change","22","This is due to income, market or cost analysis supporting the assessment.",,,,,,,"042640005300002003458A1"
"04264000731038","2003","299","25","84","Current year appeal","1","condo/coop",,"15340","3979","19319","15340","3979","19319","no change","16","This is due to your property's uniformity with comparable properties.",,,,,,,"04264000731038200384A1"
"04264010550000","2003","278","25","125","Current year appeal","1","residential",,"46426","11192","57618","42086","11192","53278","change","1","This is the result of an analysis of comparable properties.",,,,,,,"042640105500002003125A1"
"04264050210000","2003","204","25","300","Current year appeal","1","residential",,"57684","12441","70125","57684","12441","70125","no change","27","This is due to an analysis of the sale of the property.",,,,,,,"042640502100002003300A1"
"04264130420000","2003","203","25","698","Current year appeal","1","residential",,"23364","8988","32352","23364","8988","32352","no change","17","This is due to your property's uniformity with comparable properties. The analysis included an update of your property's characteristics.",,,,,,,"042641304200002003698A1"
"04264150110000","2003","203","25","487","Current year appeal","1","residential",,"22063","8642","30705","22063","8642","30705","no change","16","This is due to your property's uniformity with comparable properties.",,,,,,,"042641501100002003487A1"
"04271030130000","2003","527","25","677","Current year appeal","1","commercial",,"1023138","197441","1220579","451646","197441","649087","change","7","This is the result of the total vacancy of your property.",,,,,,,"042710301300002003677A1"
"04271080020000","2003","295","25","168","Current year appeal","1","residential",,"37155","3354","40509","28764","3354","32118","change","2","This is the result of an analysis of comparable properties. The decrease includes an update of your property's characteristics.",,,,,,,"042710800200002003168A1"
"04271080040000","2003","295","25","168","Current year appeal","1","residential",,"37155","3354","40509","28764","3354","32118","change","2","This is the result of an analysis of comparable properties. The decrease includes an update of your property's characteristics.",,,,,,,"042710800400002003168A1"
"04271100160000","2003","295","25","6000479","Current year appeal","1","residential",,"28621","3356","31977","28621","3356","31977","no change","16","This is due to your property's uniformity with comparable properties.",,,,,,,"0427110016000020036000479A1"
"04271100190000","2003","295","25","205","Current year appeal","1","residential",,"33696","4896","38592","32536","4896","37432","change","2","This is the result of an analysis of comparable properties. The decrease includes an update of your property's characteristics.",,,,,,,"042711001900002003205A1"
"04271100260000","2003","295","25","203","Current year appeal","1","residential",,"28911","3356","32267","28911","3356","32267","no change","16","This is due to your property's uniformity with comparable properties.",,,,,,,"042711002600002003203A1"
"04272010080000","2003","593","25","853","Current year appeal","1","commercial",,"117843","78408","196251","117843","78408","196251","no change","18","This is due to lack of data having been submitted for our review.","25",,,,,,"042720100800002003853A1"
"04272010090000","2003","593","25","853","Current year appeal","1","commercial",,"48131","78408","126539","48131","78408","126539","no change","18","This is due to lack of data having been submitted for our review.","25",,,,,,"042720100900002003853A1"
"04272010110000","2003","593","25","629","Current year appeal","1","commercial",,"164255","150073","314328","16426","150073","166499","change","7","This is the result of the total vacancy of your property.",,,,,,,"042720101100002003629A1"
"04272010230000","2003","212","25","435","Current year appeal","1","residential",,"81460","11200","92660","60364","11200","71564","change","2","This is the result of an analysis of comparable properties. The decrease includes an update of your property's characteristics.","16","This is due to your property's uniformity with comparable properties.",,,,,"042720102300002003435A1"
"04272010370000","2003","591","25","754","Current year appeal","1","commercial",,"168936","35224","204160","98657","35224","133881","change","6","This is the result of the partial occupancy of your property along with an income, market or cost analysis.",,,,,,,"042720103700002003754A1"
"04272020050000","2003","590","25","579","Current year appeal","1","commercial",,"193077","395922","588999","193077","395922","588999","no change","29","This is due to a factual change in your property characteristics and a valuation analysis.","22","This is due to income, market or cost analysis supporting the assessment.",,,,,"042720200500002003579A1"
"04272030110000","2003","593","25","724","Current year appeal","1","commercial",,"376656","116044","492700","376656","116044","492700","no change","18","This is due to lack of data having been submitted for our review.",,,,,,,"042720301100002003724A1"
"04272030140000","2003","593","25","725","Current year appeal","1","commercial",,"870421","217112","1087533","870421","217112","1087533","no change","18","This is due to lack of data having been submitted for our review.",,,,,,,"042720301400002003725A1"
"04273000080000","2003","535","25","9000082","Current year appeal","1","commercial",,"1450077","3084840","4534917","1450077","3084840","4534917","no change","18","This is due to lack of data having been submitted for our review.","25",,,,,,"0427300008000020039000082A1"
"04273010160000","2003","297","25","457","Current year appeal","1","condo/coop",,"7132217","83520","7215737","4364908","83520","4448428","change","5","This is the result of the partial occupancy of your property.",,,,,,,"042730101600002003457A1"
"04273040010000","2003","278","25","642","Current year appeal","1","residential",,"66026","9166","75192","66026","9166","75192","no change","16","This is due to your property's uniformity with comparable properties.",,,,,,,"042730400100002003642A1"
"04273050050000","2003","208","25","527","Current year appeal","1","residential",,"86183","11130","97313","86183","11130","97313","no change","16","This is due to your property's uniformity with comparable properties.",,,,,,,"042730500500002003527A1"
