"unique_id","indicator_id","name","measure","measure_info","geo_type_name","geo_join_id","geo_place_name","time_period","start_date","data_value","message"
"649928","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","112","Washington Heights and Inwood (CD12)","Summer 2019","2019-06-01T00:00:00.000","8.21",
"649853","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF34","403","Flushing - Clearview","Summer 2019","2019-06-01T00:00:00.000","7.76",
"650929","386","Ozone (O3)","Mean","ppb","UHF42","201","Greenpoint","Summer 2019","2019-06-01T00:00:00.000","27.77",
"650063","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","501","St. George and Stapleton (CD1)","Summer 2019","2019-06-01T00:00:00.000","7.63",
"643376","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","302","Central Harlem - Morningside Heights","Summer 2019","2019-06-01T00:00:00.000","16.78",
"650947","386","Ozone (O3)","Mean","ppb","UHF42","308","Greenwich Village - SoHo","Summer 2019","2019-06-01T00:00:00.000","25.04",
"643397","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","309","Union Square - Lower East Side","Summer 2019","2019-06-01T00:00:00.000","20.28",
"650928","386","Ozone (O3)","Mean","ppb","UHF42","107","Hunts Point - Mott Haven","Summer 2019","2019-06-01T00:00:00.000","29.58",
"650917","386","Ozone (O3)","Mean","ppb","Borough","1","Bronx","Summer 2019","2019-06-01T00:00:00.000","29.87",
"650980","386","Ozone (O3)","Mean","ppb","UHF34","302","Central Harlem - Morningside Heights","Summer 2019","2019-06-01T00:00:00.000","27.07",
"643427","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","409","Southeast Queens","Summer 2019","2019-06-01T00:00:00.000","12.99",
"643490","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF34","301","Washington Heights","Summer 2019","2019-06-01T00:00:00.000","14.03",
"649766","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","407","Southwest Queens","Summer 2019","2019-06-01T00:00:00.000","7.54",
"650927","386","Ozone (O3)","Mean","ppb","UHF42","106","High Bridge - Morrisania","Summer 2019","2019-06-01T00:00:00.000","28.62",
"651053","386","Ozone (O3)","Mean","ppb","CD","413","Queens Village (CD13)","Summer 2019","2019-06-01T00:00:00.000","33.58",
"650934","386","Ozone (O3)","Mean","ppb","UHF42","206","Borough Park","Summer 2019","2019-06-01T00:00:00.000","30.62",
"650948","386","Ozone (O3)","Mean","ppb","UHF42","309","Union Square - Lower East Side","Summer 2019","2019-06-01T00:00:00.000","25.72",
"649913","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","107","Upper West Side (CD7)","Summer 2019","2019-06-01T00:00:00.000","8.55",
"649802","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF34","201","Greenpoint","Summer 2019","2019-06-01T00:00:00.000","9.93",
"650937","386","Ozone (O3)","Mean","ppb","UHF42","209","Bensonhurst - Bay Ridge","Summer 2019","2019-06-01T00:00:00.000","30.83",
"643364","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","209","Bensonhurst - Bay Ridge","Summer 2019","2019-06-01T00:00:00.000","13",
"643310","375","Nitrogen dioxide (NO2)","Mean","ppb","Borough","3","Manhattan","Summer 2019","2019-06-01T00:00:00.000","19.7",
"643313","375","Nitrogen dioxide (NO2)","Mean","ppb","Borough","4","Queens","Summer 2019","2019-06-01T00:00:00.000","13.06",
"643544","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF34","105106107","South Bronx","Summer 2019","2019-06-01T00:00:00.000","15.15",
