"id","tif_district","project_name","address","developer","project_description","cdc_date","coc_date","approved_amount","total_project_cost","tif_subsidy_percentage","affordable_units","ward","community_area","x_coordinate","y_coordinate","latitude","longitude","location"
"11047","Midwest","IGA - CBE - Plamondon 2013","2642 W 15th Pl","Chicago Public Schools","CPS - Plamondon - IGA pending","2013-08-12T00:00:00.000",,"3000000","3000000","100",,"28","North Lawndale","1158816.3023398893","1892329.9959619755","41.8602866796","-87.6925046809","
,  
(41.86028667955628, -87.6925046809117)"
"15362","Archer/Western","Holden ES - Elevator and Accessible Bathrooms","1104 W 31st St","CPS","The project scope includes:  1) installing a new elevator to provide vertical access to people with disabilities; 2)  provide three (3) new accessible bathrooms (boys, girls and all-gender); and 3) replace cornice and repair masonry band.","2022-07-20T00:00:00.000",,"3740000","3740000","100",,"11","Bridgeport","1169423.8868857147","1884309.812539948","41.8380547334","-87.653800024","
,  
(41.838054733366924, -87.65380002395295)"
"13879","Belmont/Central","Blackhawk Park TIF","2318 N Lavergne Av",,"Blackhawk Park is a 6.8-acre Chicago Park District park located at 2318 N Lavergne Avenue within the Belmont Craigin community area. The park contains a 29,800 sq ft fieldhouse originally built in 1926, and features an indoor pool, gymnasium, meeting rooms, and a kitchen.   

Blackhawk Park offers fitness classes, basketball and volleyball leagues, as well as aquatic programs for patrons of all ages and skill levels.  The park also supports after-school programs for children ages 6-12 and spring/winter break camps as well as summer day camps.   

TIF funds will be used for fieldhouse renovations; and planned to be completed in 2020.  Approved by TIF Investment Committeee\

Sources:
Belmont Central TIF							$3,000,000
					                      Total = 		$3,000,000

Uses:
Fieldhouse roof and gutter replacement		   			$   750,000
Fieldhouse waterproofing and tuckpointing 				$   200,000
Fieldhouse window and door replacement				$   825,000
Interior restoration, ceiling, plaster, floors		 		$   225,000
ADA access improvements						$   735,000
Architectural design services 						$   265,000	
					Total = 		$3,000,000","2020-12-10T00:00:00.000",,"3000000","3000000","100",,"31","Belmont Cragin","1142634.806818358","1915044.5616476128","41.9229342087","-87.7513378982","
,  
(41.92293420867488, -87.7513378982494)"
"1322","105th Street and Vincennes Avenue","105th Vincennes","10500 S Vincennes Av","MGM/TGI 105th Street LLC","Located in the Washington Heights community, the project will construct 233 for-sale residential units on a 15 acre site.  There will be 48 affordable units, construction of a park, and street improvements including new interior streets.","2006-06-28T00:00:00.000",,"11900000","75473873","15.77",,"19","Beverly","1168790.431222901","1835128.9325369229","41.7031098983","-87.6575424739","
,  
(41.70310989832585, -87.65754247386181)"
"1423","Near South","Filmworks Lofts Condo","1318 S Wabash Av","Wabash L.P.","The project includes rehabilitation and conversion of three-story and ten-story structures as 87 residential condominium units, and construction of 56 indoor and 64 outdoor parking spaces.  The condominium units include a mix of 1-bedroom and 2-bedroom units ranging in size from 800 to 1,800 square feet.","1994-09-14T00:00:00.000",,"2060000","12535698","16.43",,"3","Near South Side","1176937.6711761805","1894257.1919690606","41.8651846093","-87.6259279484","
,  
(41.865184609311314, -87.62592794838997)"
"15557","Western Avenue South","Lane Technical HS IGA with CPS Mechanical Systems 2022PS","2501 W Addison St","CPS","Ordinance authorizing the City to enter into an Intergovernmental Agreement with the Chicago Board of Education in order to provide Tax Increment Financing (TIF) funds to reimburse Chicago Public Schools (CPS) for the costs associated with the installation of new mechanical systems to address aging systems concerns.","2022-05-23T00:00:00.000","2025-02-06T00:00:00.000","10000000","41100000","24.33",,"47","North Center","1158975.392168648","1923791.7051003005","41.9466169323","-87.6910560273","
,  
(41.946616932301644, -87.6910560273057)"
"14045","35th/State","Armour Building TIF","3300 S Federal St","MCM Company","Renovation of the historic Armour Building into market rate and affordable housing.  The Development will contain 102 units (19 1br/83 micro 1bd) of which 81 units will be market rate and 21 units will be affordable.","2022-10-26T00:00:00.000",,"5500000","36846639","14.93","20","3","Douglas","1176131.8586197253","1883102.6805140318","41.8345940032","-87.6292218265","
,  
(41.83459400318184, -87.62922182646098)"
"15255","Near North","Oak and Larrabee Phase I","537 W Oak St","Michaels Development","CHA Plan Forward development that will consist of the new construction of a seven-story rental building that houses 78 mixed-income units.  Of the 78 units, 54 will rent to households at the 80% area median income (AMI) and below levels, and 24 will be market rate units.","2025-02-19T00:00:00.000",,"14000000","53978855","25.94","54","27","Near North Side","1172310.0138388602","1907020.8932328685","41.9003124159","-87.6425388844","
,  
(41.90031241590241, -87.64253888438807)"
"15223","51st/Archer","Solorio ES IGA with CPS 2021","5400 S Saint Louis Av","CPS","Intergovernmental Agreement with the Chicago Board of Education in order to provide Tax Increment Financing (TIF) funds to reimburse Chicago Public Schools (CPS) for the costs associated with the upgrade, repair and re-certifying of the obsolete and failing Building Automation System (BAS) which controls the environmental and mechanical systems in the building at Solorio.","2022-01-26T00:00:00.000","2025-02-05T00:00:00.000","329800","329800","100",,"14","Gage Park","1153924.1172008105","1868568.6110225103","41.7951811812","-87.7110944738","
,  
(41.79518118115942, -87.71109447383934)"
"16351","Chicago/Central Park","IGA - CPD - Kells Park","3201 W Chicago Av","Chicago Park District","Reconfiguration of existing park to include the relocation of the playground, installation of a walking path, perimeter fencing, drinking fountain, benches and landscaping.","2023-03-15T00:00:00.000",,"600000","600000","100",,"27","Humboldt Park","1154878.850862744","1905112.5579865708","41.8954430766","-87.7066154987","
,  
(41.895443076636596, -87.70661549867356)"
