start_station_id,start_station_name,trips,member_trips,casual_trips,classic_trips,electric_trips,docked_trips,rtype_other_trips,mean_start_lat,mean_start_lng,coord_n,dist_sum_m,dist_n
TA1309000019,Lakeview Ave & Fullerton Pkwy,5783,3417,2366,3459,2324,0,0,41.925887,-87.638969,5783,14410900.5,5776
TA1307000150,Pine Grove Ave & Waveland Ave,5770,3964,1806,3424,2346,0,0,41.949444,-87.646459,5770,14122303.0,5765
632,Clark St & Newport St,5746,3334,2412,2651,3095,0,0,41.944474,-87.654688,5746,13290662.0,5742
KA1503000041,McClurg Ct & Erie St,5740,3900,1840,3705,2035,0,0,41.894533,-87.617953,5740,13767874.3,5730
TA1308000049,Wells St & Evergreen Ave,5682,3402,2280,3284,2398,0,0,41.906713,-87.634895,5682,11417847.1,5678
TA1309000025,Halsted St & Roscoe St,5671,3652,2019,2666,3005,0,0,41.943672,-87.648947,5671,13758888.3,5664
TA1307000142,Clark St & Drummond Pl,5668,3874,1794,3391,2277,0,0,41.931255,-87.644322,5668,13329640.7,5663
TA1307000126,Sheffield Ave & Waveland Ave,5661,3397,2264,2841,2820,0,0,41.949342,-87.654507,5661,13045862.4,5656
TA1307000121,Halsted St & Polk St,5647,4632,1015,3019,2628,0,0,41.871832,-87.646637,5647,8212192.1,5645
TA1309000004,LaSalle St & Jackson Blvd,5607,4375,1232,3006,2601,0,0,41.878136,-87.631901,5607,10666732.1,5599
13016,St. Clair St & Erie St,5602,3924,1678,3035,2567,0,0,41.894353,-87.622806,5602,11764961.3,5593
TA1305000029,State St & Randolph St,5579,3427,2152,3718,1861,0,0,41.884613,-87.627859,5579,9997355.9,5565
13235,Southport Ave & Waveland Ave,5515,3899,1616,3084,2431,0,0,41.948152,-87.664016,5515,12060695.6,5512
TA1307000041,DuSable Lake Shore Dr & Wellington Ave,5437,3026,2411,3579,1858,0,0,41.936683,-87.636819,5437,15384741.9,5429
TA1307000111,Franklin St & Lake St,5431,3944,1487,2944,2487,0,0,41.885819,-87.635526,5431,11355448.5,5422
15530,Rush St & Superior St,5410,3527,1883,3241,2169,0,0,41.895729,-87.625995,5410,10099195.0,5405
KA1504000133,Rush St & Cedar St,5387,3465,1922,2850,2537,0,0,41.902304,-87.627749,5387,11396088.0,5380
TA1307000062,Sedgwick St & Huron St,5353,4087,1266,3323,2030,0,0,41.894665,-87.638416,5353,8725856.8,5344
13071,Southport Ave & Roscoe St,5338,3498,1840,3157,2181,0,0,41.943701,-87.664000,5338,12091155.3,5333
13427,Cityfront Plaza Dr & Pioneer Ct,5301,2865,2436,3398,1903,0,0,41.890544,-87.622087,5301,9791891.6,5283
13157,Aberdeen St & Jackson Blvd,5279,3832,1447,3160,2119,0,0,41.877736,-87.654785,5279,7801485.0,5272
TA1309000061,Halsted St & Wrightwood Ave,5262,3474,1788,3064,2198,0,0,41.929113,-87.649081,5262,11087572.4,5257
13050,State St & Kinzie St,5160,3160,2000,2959,2201,0,0,41.889268,-87.627129,5160,9758991.4,5156
13063,Sheridan Rd & Irving Park Rd,5140,3645,1495,2911,2229,0,0,41.954245,-87.654409,5140,10166617.9,5137
15541.1.1,Buckingham Fountain,5047,1225,3822,3617,1430,0,0,41.872582,-87.622490,5047,9375995.6,5035
TA1309000010,Wabash Ave & 9th St,4955,2898,2057,2885,2070,0,0,41.870766,-87.625738,4955,8786726.1,4945
13216,State St & 33rd St,4940,4513,427,3018,1922,0,0,41.834735,-87.625846,4940,5830662.7,4932
TA1308000022,Pine Grove Ave & Irving Park Rd,4927,3572,1355,2565,2362,0,0,41.954382,-87.648046,4927,11415409.2,4920
RN-,Franklin St & Illinois St,4914,3323,1591,2920,1994,0,0,41.891028,-87.635487,4914,8494021.2,4904
TA1309000023,Sheffield Ave & Wrightwood Ave,4904,3063,1841,2824,2080,0,0,41.928701,-87.653832,4904,10174335.0,4898
13033,Milwaukee Ave & Grand Ave,4897,3259,1638,2634,2263,0,0,41.891589,-87.648361,4897,10351576.8,4890
13276,Stockton Dr & Wrightwood Ave,4850,2981,1869,3082,1768,0,0,41.931315,-87.638742,4850,12837696.7,4846
13379,Clarendon Ave & Gordon Ter,4834,3619,1215,2450,2384,0,0,41.957852,-87.649505,4834,10603236.8,4830
TA1307000052,Sheffield Ave & Wellington Ave,4771,3354,1417,2758,2013,0,0,41.936264,-87.652661,4771,10698619.1,4770
15529,Mies van der Rohe Way & Chestnut St,4760,2747,2013,2754,2006,0,0,41.898573,-87.621979,4760,10016905.3,4750
TA1307000139,MLK Jr Dr & 29th St,4715,4230,485,2518,2197,0,0,41.842063,-87.617019,4715,7381053.8,4711
TA1309000033,Sheffield Ave & Webster Ave,4647,3061,1586,2592,2055,0,0,41.921574,-87.653816,4647,9564629.8,4641
13338,Mies van der Rohe Way & Chicago Ave,4646,3115,1531,2695,1951,0,0,41.896972,-87.621791,4646,10865675.1,4636
13323,Broadway & Sheridan Rd,4645,3391,1254,2446,2199,0,0,41.952832,-87.650009,4645,9875695.4,4639
13277,Broadway & Belmont Ave,4644,3069,1575,2651,1993,0,0,41.940100,-87.645464,4644,11562405.8,4638
TA1307000131,Wabash Ave & Wacker Pl,4643,2376,2267,2880,1763,0,0,41.886866,-87.626045,4643,8730753.1,4630
