school_id,short_name,long_name,primary_category,address,zip,school_latitude,school_longitude,student_count_total,student_count_low_income,student_count_black,student_count_hispanic,student_count_white,overall_rating,school_year,community_area
609817,BUDLONG,Lyman A Budlong Elementary School,ES,2701 W FOSTER AVE,60625,41.975754,-87.696556,756,550,39,316,213,Level 1+,School Year 2016-2017,LINCOLN SQUARE
400156,NOBLE - BUTLER HS,Noble - Butler College Prep,HS,821 E 103RD ST,60628,41.706667,-87.602573,654,602,625,22,0,Level 1+,School Year 2016-2017,PULLMAN
400085,ACERO - GARCIA HS,Acero Charter Schools - Major Hector P. Garcia MD,HS,4248 W 47TH ST,60632,41.809171,-87.730467,576,542,3,557,10,Level 1+,School Year 2016-2017,ARCHER HEIGHTS
610543,SOLORIO HS,Eric Solorio Academy High School,HS,5400 S ST LOUIS AVE,60632,41.795201,-87.711059,1190,1128,56,1116,9,Level 1+,School Year 2016-2017,GAGE PARK
610005,HUGHES C,Charles Evans Hughes Elementary School,ES,4247 W 15TH ST,60623,41.860518,-87.731777,248,226,240,4,0,Level 2+,School Year 2016-2017,NORTH LAWNDALE
609812,BROWN W,William H Brown Elementary School,ES,54 N HERMITAGE AVE,60612,41.882997,-87.670682,250,220,225,14,4,Level 2,School Year 2016-2017,NEAR WEST SIDE
400169,NOBLE - ITW SPEER HS,Noble - ITW David Speer Academy,HS,5321 W GRAND AVE,60639,41.92563,-87.769808,1015,908,128,858,17,Level 1+,School Year 2016-2017,BELMONT CRAGIN
609756,CURIE HS,Marie Sklodowska Curie Metropolitan High School,HS,4959 S ARCHER AVE,60632,41.80306,-87.722042,2924,2713,383,2377,64,Level 2+,School Year 2016-2017,ARCHER HEIGHTS
400097,NOBLE - BULLS HS,Noble - Chicago Bulls College Prep,HS,2040 W ADAMS ST,60612,41.878809,-87.678195,1146,1010,377,753,4,Level 1+,School Year 2016-2017,NEAR WEST SIDE
400143,YCCS - WEST TOWN,YCCS-West Town Acad Alternative HS,HS,500 N SACRAMENTO BLVD,60612,41.890803,-87.702053,87,84,71,15,1,Level 1,School Year 2016-2017,HUMBOLDT PARK
609874,DIRKSEN,Everett McKinley Dirksen Elementary School,ES,8601 W FOSTER AVE,60656,41.973715,-87.841041,925,622,23,93,653,Level 1+,School Year 2016-2017,OHARE
609800,BENNETT,Frank I Bennett Elementary School,ES,10115 S PRAIRIE AVE,60628,41.710435,-87.61739,306,255,300,1,1,Level 1,School Year 2016-2017,ROSELAND
400094,EPIC HS,EPIC Academy Charter High School,HS,8255 S HOUSTON AVE,60617,41.744849,-87.550222,523,491,331,186,2,Level 1+,School Year 2016-2017,SOUTH CHICAGO
610367,DEPRIEST,Oscar DePriest Elementary School,ES,139 S PARKSIDE AVE,60644,41.877979,-87.766298,547,494,518,23,0,Level 1,School Year 2016-2017,AUSTIN
609806,BRADWELL,Myra Bradwell Communications Arts & Sciences ES,ES,7736 S BURNHAM AVE,60649,41.754365,-87.557142,480,437,473,4,1,Level 2,School Year 2016-2017,SOUTH SHORE
610184,SPRY ES,John Spry Elementary Community School,ES,2400 S MARSHALL BLVD,60623,41.847747,-87.700184,540,489,2,524,4,Level 2,School Year 2016-2017,SOUTH LAWNDALE
610157,SAWYER,Sidney Sawyer Elementary School,ES,5248 S SAWYER AVE,60632,41.797498,-87.705006,1548,1396,8,1517,15,Level 1,School Year 2016-2017,GAGE PARK
610178,SCHMID,Theophilus Schmid Elementary School,ES,9755 S GREENWOOD AVE,60628,41.716989,-87.596932,194,158,190,3,0,Level 2+,School Year 2016-2017,PULLMAN
609735,TILDEN HS,Edward Tilden Career Community Academy HS,HS,4747 S UNION AVE,60609,41.80751,-87.642966,239,225,133,76,21,Level 2,School Year 2016-2017,NEW CITY
400046,LEARN - BUTLER,L.E.A.R.N. - Romano Butler Campus,ES,1132 S HOMAN AVE,60624,41.867273,-87.710679,565,516,558,5,0,Level 2,School Year 2016-2017,NORTH LAWNDALE
610173,SHERWOOD,Jesse Sherwood Elementary School,ES,245 W 57TH ST,60621,41.7908,-87.632279,330,283,316,12,1,Level 1,School Year 2016-2017,ENGLEWOOD
610300,WESTCOTT,Oliver S Westcott Elementary School,ES,409 W 80TH ST,60620,41.748868,-87.634751,399,339,393,3,1,Level 1,School Year 2016-2017,CHATHAM
610586,SOUTHEAST,Southeast Area Elementary School,ES,3930 E 105TH,60617,41.704859,-87.527985,521,429,10,500,8,Inability to Rate,School Year 2016-2017,EAST SIDE
400130,YCCS - YOUTH DEVELOPMENT,YCCS-Community Youth Development Institute HS,HS,7836 S UNION AVE,60620,41.751377,-87.641731,121,114,118,3,0,Level 1,School Year 2016-2017,AUBURN GRESHAM
400112,ACERO - IDAR,Acero Charter Schools - Jovita Idar,ES,5050 S HOMAN AVE,60632,41.801042,-87.708797,571,518,2,541,0,Level 1,School Year 2016-2017,GAGE PARK
609760,CARVER MILITARY HS,George Washington Carver Military Academy HS,HS,13100 S DOTY AVE,60627,41.65629,-87.59062,479,443,192,281,3,Level 1,School Year 2016-2017,RIVERDALE
610159,SCAMMON,Jonathan Y Scammon Elementary School,ES,4201 W HENDERSON ST,60641,41.941678,-87.732179,750,674,15,653,45,Level 2+,School Year 2016-2017,IRVING PARK
609901,EDGEBROOK,Edgebrook Elementary School,ES,6525 N HIAWATHA AVE,60646,41.999437,-87.76184,509,62,11,72,340,Level 1+,School Year 2016-2017,FOREST GLEN
610195,SUTHERLAND,Elizabeth H Sutherland Elementary School,ES,10015 S LEAVITT ST,60643,41.711445,-87.676821,558,239,345,29,160,Level 2+,School Year 2016-2017,BEVERLY
609929,FULTON,Robert Fulton Elementary School,ES,5300 S HERMITAGE AVE,60609,41.79758,-87.668436,329,299,114,208,3,Level 2+,School Year 2016-2017,NEW CITY
610022,KILMER,Joyce Kilmer Elementary School,ES,6700 N GREENVIEW AVE,60626,42.00364,-87.668222,758,661,195,387,80,Level 2+,School Year 2016-2017,ROGERS PARK
610142,RAY,William H Ray Elementary School,ES,5631 S KIMBARK AVE,60637,41.792348,-87.594752,713,347,434,60,126,Level 1+,School Year 2016-2017,HYDE PARK
400171,FOUNDATIONS,Foundations College Preparatory Charter School,HS,1233 W 109TH PL,60643,41.694671,-87.653535,223,206,219,4,0,Level 2+,School Year 2016-2017,MORGAN PARK
610396,TARKINGTON,Tarkington School of Excellence ES,ES,3330 W 71ST ST,60629,41.764407,-87.706445,996,861,197,787,5,Level 1+,School Year 2016-2017,CHICAGO LAWN
609740,WELLS HS,Wells Community Academy High School,HS,936 N ASHLAND AVE,60622,41.898995,-87.667483,370,335,190,163,12,Level 2+,School Year 2016-2017,WEST TOWN
610391,LINDBLOM HS,Robert Lindblom Math & Science Academy HS,HS,6130 S WOLCOTT AVE,60636,41.782041,-87.671662,1331,882,941,325,34,Level 1+,School Year 2016-2017,WEST ENGLEWOOD
400176,CAMELOT - EXCEL SOUTHWEST HS,Excel - Southwest HS,HS,7014 S WASHTENAW AVE,60629,41.765929,-87.69073,123,117,113,8,0,Level 2+,School Year 2016-2017,CHICAGO LAWN
610153,RYDER,William H Ryder Math & Science Specialty ES,ES,8716 S WALLACE ST,60620,41.735379,-87.638843,397,348,397,0,0,Level 1,School Year 2016-2017,AUBURN GRESHAM
610111,PALMER,John Palmer Elementary School,ES,5051 N KENNETH AVE,60630,41.973289,-87.739213,802,600,5,380,239,Level 1+,School Year 2016-2017,ALBANY PARK
400168,GREAT LAKES,Great Lakes Academy Charter School,ES,8401 S SAGINAW AVE,60617,41.742671,-87.559907,292,219,259,31,0,Inability to Rate,School Year 2016-2017,SOUTH CHICAGO
609997,HOLMES,Oliver Wendell Holmes Elementary School,ES,955 W GARFIELD BLVD,60621,41.793788,-87.649795,160,137,153,5,1,Level 2,School Year 2016-2017,ENGLEWOOD
609924,FORT DEARBORN,Fort Dearborn Elementary School,ES,9025 S THROOP ST,60620,41.729673,-87.655481,373,318,372,1,0,Level 2+,School Year 2016-2017,WASHINGTON HEIGHTS
610000,HOWE,Julia Ward Howe Elementary School of Excellence,ES,720 N LOREL AVE,60644,41.893612,-87.759398,482,436,465,15,0,Level 1,School Year 2016-2017,AUSTIN
609909,EVERETT,Edward Everett Elementary School,ES,3419 S BELL AVE,60608,41.831555,-87.68131,201,154,8,177,7,Level 1,School Year 2016-2017,MCKINLEY PARK
609956,GRIMES,Robert L Grimes Elementary School,ES,5450 W 64TH PL,60638,41.775464,-87.758803,460,347,8,411,35,Level 1+,School Year 2016-2017,CLEARING
610518,AUSTIN CCA HS,Austin College and Career Academy High School,HS,231 N PINE AVE,60644,41.885993,-87.761916,223,216,215,5,1,Level 3,School Year 2016-2017,AUSTIN
400107,LEARN - SOUTH CHICAGO,L.E.A.R.N. - South Chicago Campus,ES,8914 S BUFFALO AVE,60617,41.733333,-87.54558,454,375,398,49,2,Level 2+,School Year 2016-2017,SOUTH CHICAGO
610392,WORLD LANGUAGE HS,World Language Academy High School,HS,3120 S KOSTNER AVE,60623,41.834397,-87.735292,351,337,23,319,3,Level 1,School Year 2016-2017,SOUTH LAWNDALE
610109,OWEN,William Bishop Owen Scholastic Academy ES,ES,8247 S CHRISTIANA AVE,60652,41.74285,-87.705749,267,155,238,20,1,Level 1,School Year 2016-2017,ASHBURN
609903,EDWARDS,Richard Edwards Elementary School,ES,4815 S KARLOV AVE,60632,41.805542,-87.725856,1533,1251,14,1454,29,Level 2+,School Year 2016-2017,ARCHER HEIGHTS
610216,WALSH,John A Walsh Elementary School,ES,2015 S PEORIA ST,60608,41.854836,-87.648086,348,271,35,301,6,Level 2,School Year 2016-2017,LOWER WEST SIDE
610251,CATHER,Willa Cather Elementary School,ES,2908 W WASHINGTON BLVD,60612,41.88295,-87.699187,375,320,358,11,0,Level 1,School Year 2016-2017,EAST GARFIELD PARK
610384,INFINITY HS,Infinity Math Science and Technology High School,HS,3120 S KOSTNER AVE,60623,41.836169,-87.735278,420,403,3,413,3,Level 1+,School Year 2016-2017,SOUTH LAWNDALE
400115,CATALYST - MARIA,Catalyst - Maria Charter School,ES,6727 S CALIFORNIA AVE,60629,41.770992,-87.693075,1065,995,471,565,15,Level 1+,School Year 2016-2017,CHICAGO LAWN
400131,YCCS - CAMPOS,YCCS-Dr. Pedro Albizu Campos Puerto Rican HS,HS,2739 W DIVISION ST,60622,41.90285,-87.696006,164,151,30,126,6,Level 1,School Year 2016-2017,WEST TOWN
609976,HAYT,Stephen K Hayt Elementary School,ES,1518 W GRANVILLE AVE,60660,41.994541,-87.668504,994,789,171,434,102,Level 1,School Year 2016-2017,EDGEWATER
400028,CICS - PRAIRIE,CICS - Prairie,ES,11530 S PRAIRIE AVE,60628,41.684433,-87.616888,419,372,217,189,4,Level 2+,School Year 2016-2017,WEST PULLMAN
610353,CALMECA,Calmeca Academy of Fine Arts and Dual Language,ES,3456 W 38TH ST,60632,41.824377,-87.711654,799,688,11,772,4,Level 1,School Year 2016-2017,BRIGHTON PARK
610170,COLUMBIA EXPLORERS,Columbia Explorers Elementary Academy,ES,4520 S KEDZIE AVE,60632,41.811069,-87.704199,1060,941,5,1031,14,Level 1+,School Year 2016-2017,BRIGHTON PARK
609920,KANOON,Gerald Delgado Kanoon Elementary Magnet School,ES,2233 S KEDZIE AVE,60623,41.850771,-87.705112,624,566,7,614,1,Level 2+,School Year 2016-2017,SOUTH LAWNDALE
610126,PERSHING,John J Pershing Elementary Humanities Magnet,ES,3200 S CALUMET AVE,60616,41.836527,-87.618338,588,451,553,16,7,Level 2+,School Year 2016-2017,DOUGLAS
610070,MCPHERSON,James B McPherson Elementary School,ES,4728 N WOLCOTT AVE,60640,41.967847,-87.676288,693,553,34,548,65,Level 1,School Year 2016-2017,LINCOLN SQUARE
610223,WENTWORTH,Daniel S Wentworth Elementary School,ES,1340 W 71ST ST,60636,41.765076,-87.658205,462,410,452,7,0,Level 2+,School Year 2016-2017,WEST ENGLEWOOD
609958,GUNSAULUS,Frank W Gunsaulus Elementary Scholastic Academy,ES,4420 S SACRAMENTO AVE,60632,41.813007,-87.699364,809,663,22,752,7,Level 1,School Year 2016-2017,BRIGHTON PARK
609918,FIELD,Eugene Field Elementary School,ES,7019 N ASHLAND AVE,60626,42.009664,-87.669985,158,151,50,85,6,Level 1,School Year 2016-2017,ROGERS PARK
609926,FRANKLIN,Franklin Elementary Fine Arts Center,ES,225 W EVERGREEN AVE,60610,41.9066,-87.635513,370,154,148,69,110,Level 1,School Year 2016-2017,NEAR NORTH SIDE
609857,CLEVELAND,Grover Cleveland Elementary School,ES,3121 W BYRON ST,60618,41.952042,-87.706443,556,443,19,453,36,Level 1,School Year 2016-2017,IRVING PARK
400029,CICS - WASHINGTON PARK,CICS - Washington Park,ES,110 E 61ST ST,60637,41.783617,-87.622068,451,402,446,2,0,Level 2,School Year 2016-2017,WASHINGTON PARK
400045,NKRUMAH,Kwame Nkrumah Academy Charter School,ES,314 W 108TH ST,60628,41.69804,-87.631058,180,154,177,0,0,Level 2+,School Year 2016-2017,ROSELAND
610038,LINCOLN,Abraham Lincoln Elementary School,ES,615 W KEMPER PL,60614,41.924525,-87.644497,898,136,117,91,551,Level 1+,School Year 2016-2017,LINCOLN PARK
610564,DISNEY II HS,Disney II Magnet High School,HS,3900 N LAWNDALE AVE,60618,41.952488,-87.721364,722,438,145,366,164,Level 1+,School Year 2016-2017,IRVING PARK
610312,MCDOWELL,Mary E McDowell Elementary School,ES,1419 E 89TH ST,60619,41.733132,-87.589589,152,127,146,5,0,Level 2+,School Year 2016-2017,CALUMET HEIGHTS
610530,SOUTH SHORE ES,South Shore Fine Arts Academy,ES,1415 E 70TH ST,60637,41.767755,-87.590396,396,331,375,15,0,Level 2+,School Year 2016-2017,SOUTH SHORE
610004,CULLEN,Countee Cullen Elementary School,ES,10650 S EBERHART AVE,60628,41.700335,-87.611244,186,160,180,2,0,Level 1+,School Year 2016-2017,ROSELAND
610248,CHICAGO ACADEMY ES,Chicago Academy Elementary School,ES,3400 N AUSTIN AVE,60634,41.943056,-87.778187,603,411,15,418,138,Level 1,School Year 2016-2017,DUNNING
610386,PEACE AND EDUCATION HS,Peace & Education Coalition HS,HS,4946 S PAULINA ST,60609,41.803515,-87.667378,103,98,28,74,1,Level 1+,School Year 2016-2017,NEW CITY
