NAME,B19013_001E,B25003_001E,B25003_002E,B25003_003E,B25002_001E,B25002_003E,state,county,tract
"Census Tract 1302, Cook County, Illinois",103611,720,630,90,772,52,17,031,130200
"Census Tract 1303, Cook County, Illinois",69857,1844,734,1110,2040,196,17,031,130300
"Census Tract 1401, Cook County, Illinois",92595,1211,362,849,1330,119,17,031,140100
"Census Tract 1402, Cook County, Illinois",68875,2036,693,1343,2177,141,17,031,140200
"Census Tract 1403.01, Cook County, Illinois",71648,926,323,603,956,30,17,031,140301
"Census Tract 1403.02, Cook County, Illinois",75806,1343,581,762,1497,154,17,031,140302
"Census Tract 1404, Cook County, Illinois",98819,2083,1675,408,2210,127,17,031,140400
"Census Tract 1405, Cook County, Illinois",70598,1388,607,781,1472,84,17,031,140500
"Census Tract 1406.01, Cook County, Illinois",81833,806,372,434,909,103,17,031,140601
"Census Tract 1406.02, Cook County, Illinois",67321,1706,403,1303,1903,197,17,031,140602
"Census Tract 1407.01, Cook County, Illinois",107790,1036,469,567,1155,119,17,031,140701
"Census Tract 1407.02, Cook County, Illinois",78789,2090,700,1390,2220,130,17,031,140702
"Census Tract 1408, Cook County, Illinois",100250,2669,1103,1566,2888,219,17,031,140800
"Census Tract 1502, Cook County, Illinois",94021,2829,1620,1209,3288,459,17,031,150200
"Census Tract 1503, Cook County, Illinois",88125,3206,1880,1326,3405,199,17,031,150300
"Census Tract 1504.01, Cook County, Illinois",93616,1794,1088,706,1929,135,17,031,150401
"Census Tract 1504.02, Cook County, Illinois",102094,1355,816,539,1447,92,17,031,150402
"Census Tract 1505.01, Cook County, Illinois",126806,1523,1154,369,1569,46,17,031,150501
"Census Tract 1505.02, Cook County, Illinois",69869,1525,1033,492,1675,150,17,031,150502
"Census Tract 1506, Cook County, Illinois",95045,1414,940,474,1578,164,17,031,150600
"Census Tract 1507, Cook County, Illinois",108385,1423,1012,411,1585,162,17,031,150700
"Census Tract 1508, Cook County, Illinois",79044,1709,1233,476,1826,117,17,031,150800
"Census Tract 1510.01, Cook County, Illinois",91992,887,505,382,948,61,17,031,151001
"Census Tract 1510.02, Cook County, Illinois",78851,1648,730,918,1761,113,17,031,151002
"Census Tract 1511, Cook County, Illinois",76864,1850,935,915,1951,101,17,031,151100
"Census Tract 1512, Cook County, Illinois",92201,1303,1076,227,1383,80,17,031,151200
"Census Tract 1601, Cook County, Illinois",111602,999,677,322,1086,87,17,031,160100
"Census Tract 1602, Cook County, Illinois",128288,1321,919,402,1358,37,17,031,160200
"Census Tract 1603, Cook County, Illinois",76083,1792,751,1041,2038,246,17,031,160300
"Census Tract 1604, Cook County, Illinois",72593,2138,994,1144,2238,100,17,031,160400
"Census Tract 1605.01, Cook County, Illinois",76514,1410,519,891,1489,79,17,031,160501
"Census Tract 1605.02, Cook County, Illinois",85500,1560,717,843,1659,99,17,031,160502
"Census Tract 1606.01, Cook County, Illinois",74310,1522,738,784,1649,127,17,031,160601
"Census Tract 1606.02, Cook County, Illinois",96324,1578,876,702,1655,77,17,031,160602
"Census Tract 1607, Cook County, Illinois",89531,2532,1273,1259,2643,111,17,031,160700
"Census Tract 1608, Cook County, Illinois",83148,1878,640,1238,2066,188,17,031,160800
"Census Tract 1609, Cook County, Illinois",116063,1037,682,355,1128,91,17,031,160900
"Census Tract 1610, Cook County, Illinois",113287,823,410,413,879,56,17,031,161000
"Census Tract 1611, Cook County, Illinois",153750,750,554,196,788,38,17,031,161100
"Census Tract 1612, Cook County, Illinois",76797,1089,640,449,1152,63,17,031,161200
"Census Tract 1613, Cook County, Illinois",58425,1577,613,964,1673,96,17,031,161300
"Census Tract 1701, Cook County, Illinois",41699,1085,915,170,1114,29,17,031,170100
