NAME,B19013_001E,B25003_002E,B25003_003E,state,county,tract
Census Tract 79.12; Dallas County; Texas,80982,0,1242,48,113,007912
Census Tract 79.13; Dallas County; Texas,76095,761,1201,48,113,007913
Census Tract 79.14; Dallas County; Texas,70730,234,1963,48,113,007914
Census Tract 79.15; Dallas County; Texas,73739,0,1196,48,113,007915
Census Tract 79.16; Dallas County; Texas,96976,0,846,48,113,007916
Census Tract 80; Dallas County; Texas,250001,2511,139,48,113,008000
Census Tract 81.01; Dallas County; Texas,66352,29,1188,48,113,008101
Census Tract 81.02; Dallas County; Texas,188125,1497,336,48,113,008102
Census Tract 82; Dallas County; Texas,80556,891,773,48,113,008200
Census Tract 84.01; Dallas County; Texas,56420,1146,520,48,113,008401
Census Tract 84.02; Dallas County; Texas,64333,713,399,48,113,008402
Census Tract 85; Dallas County; Texas,52423,720,312,48,113,008500
Census Tract 86.04; Dallas County; Texas,22619,246,886,48,113,008604
Census Tract 87.01; Dallas County; Texas,23938,640,1285,48,113,008701
Census Tract 87.03; Dallas County; Texas,36506,691,318,48,113,008703
Census Tract 87.04; Dallas County; Texas,17442,458,1209,48,113,008704
Census Tract 87.05; Dallas County; Texas,36786,467,79,48,113,008705
Census Tract 88.01; Dallas County; Texas,41476,776,372,48,113,008801
Census Tract 88.02; Dallas County; Texas,32480,1075,746,48,113,008802
Census Tract 90.01; Dallas County; Texas,59757,539,1203,48,113,009001
Census Tract 90.02; Dallas County; Texas,48538,818,585,48,113,009002
Census Tract 91.01; Dallas County; Texas,61011,1408,555,48,113,009101
Census Tract 91.03; Dallas County; Texas,50927,616,345,48,113,009103
Census Tract 91.04; Dallas County; Texas,71298,835,226,48,113,009104
Census Tract 91.05; Dallas County; Texas,61804,726,310,48,113,009105
Census Tract 92.02; Dallas County; Texas,48497,887,614,48,113,009202
Census Tract 92.03; Dallas County; Texas,59052,614,512,48,113,009203
Census Tract 92.04; Dallas County; Texas,50773,459,319,48,113,009204
Census Tract 93.01; Dallas County; Texas,64255,923,369,48,113,009301
Census Tract 93.03; Dallas County; Texas,57092,616,340,48,113,009303
Census Tract 93.04; Dallas County; Texas,33786,468,2226,48,113,009304
Census Tract 94.01; Dallas County; Texas,100806,1011,255,48,113,009401
Census Tract 94.02; Dallas County; Texas,210795,1043,102,48,113,009402
Census Tract 95; Dallas County; Texas,202857,795,29,48,113,009500
Census Tract 96.03; Dallas County; Texas,152188,1537,473,48,113,009603
Census Tract 96.04; Dallas County; Texas,47083,1458,736,48,113,009604
Census Tract 96.05; Dallas County; Texas,77585,372,660,48,113,009605
Census Tract 96.07; Dallas County; Texas,135000,1121,207,48,113,009607
Census Tract 96.08; Dallas County; Texas,123958,1023,96,48,113,009608
Census Tract 96.09; Dallas County; Texas,190670,1099,84,48,113,009609
Census Tract 96.10; Dallas County; Texas,52348,0,1291,48,113,009610
Census Tract 96.11; Dallas County; Texas,83270,1079,220,48,113,009611
Census Tract 97.01; Dallas County; Texas,78365,999,498,48,113,009701
Census Tract 97.02; Dallas County; Texas,164547,994,183,48,113,009702
Census Tract 98.02; Dallas County; Texas,56923,866,897,48,113,009802
Census Tract 98.03; Dallas County; Texas,93100,453,243,48,113,009803
Census Tract 98.04; Dallas County; Texas,42756,31,1916,48,113,009804
Census Tract 99; Dallas County; Texas,83482,82,3184,48,113,009900
Census Tract 100.01; Dallas County; Texas,40299,96,875,48,113,010001
Census Tract 100.02; Dallas County; Texas,-666666666,0,0,48,113,010002
Census Tract 100.03; Dallas County; Texas,83995,23,2331,48,113,010003
Census Tract 101.01; Dallas County; Texas,45051,1037,314,48,113,010101
Census Tract 101.02; Dallas County; Texas,58953,718,163,48,113,010102
Census Tract 105; Dallas County; Texas,56904,712,189,48,113,010500
Census Tract 106.01; Dallas County; Texas,65769,1273,229,48,113,010601
Census Tract 106.02; Dallas County; Texas,36910,435,446,48,113,010602
Census Tract 107.01; Dallas County; Texas,48225,541,1407,48,113,010701
Census Tract 107.04; Dallas County; Texas,42530,687,1198,48,113,010704
Census Tract 108.04; Dallas County; Texas,37841,294,1406,48,113,010804
Census Tract 108.05; Dallas County; Texas,52143,783,689,48,113,010805
Census Tract 108.06; Dallas County; Texas,119342,1218,74,48,113,010806
Census Tract 108.07; Dallas County; Texas,53683,629,738,48,113,010807
Census Tract 108.08; Dallas County; Texas,47393,501,808,48,113,010808
Census Tract 108.09; Dallas County; Texas,41053,978,886,48,113,010809
Census Tract 109.03; Dallas County; Texas,37090,359,1588,48,113,010903
Census Tract 109.04; Dallas County; Texas,48216,52,1843,48,113,010904
Census Tract 109.05; Dallas County; Texas,38353,0,1413,48,113,010905
Census Tract 109.06; Dallas County; Texas,58680,623,782,48,113,010906
Census Tract 110.02; Dallas County; Texas,65789,1215,229,48,113,011002
Census Tract 110.03; Dallas County; Texas,59677,1566,132,48,113,011003
Census Tract 110.04; Dallas County; Texas,57949,391,603,48,113,011004
Census Tract 111.01; Dallas County; Texas,67964,1433,192,48,113,011101
Census Tract 111.03; Dallas County; Texas,39186,734,418,48,113,011103
Census Tract 111.04; Dallas County; Texas,42344,1069,495,48,113,011104
Census Tract 111.05; Dallas County; Texas,43807,618,1057,48,113,011105
Census Tract 112.01; Dallas County; Texas,62705,928,483,48,113,011201
Census Tract 112.02; Dallas County; Texas,63661,599,286,48,113,011202
Census Tract 113; Dallas County; Texas,49643,1440,486,48,113,011300
Census Tract 114.01; Dallas County; Texas,36888,824,1108,48,113,011401
Census Tract 115; Dallas County; Texas,28040,414,1099,48,113,011500
Census Tract 116.01; Dallas County; Texas,48358,519,632,48,113,011601
Census Tract 116.03; Dallas County; Texas,60404,574,289,48,113,011603
Census Tract 116.04; Dallas County; Texas,62392,715,286,48,113,011604
Census Tract 117.01; Dallas County; Texas,58506,1495,381,48,113,011701
Census Tract 117.02; Dallas County; Texas,57607,1109,498,48,113,011702
Census Tract 118.01; Dallas County; Texas,56995,944,580,48,113,011801
Census Tract 118.02; Dallas County; Texas,44976,809,148,48,113,011802
Census Tract 119.01; Dallas County; Texas,54906,881,204,48,113,011901
Census Tract 119.02; Dallas County; Texas,64167,805,361,48,113,011902
Census Tract 120; Dallas County; Texas,36948,735,2614,48,113,012000
Census Tract 121.01; Dallas County; Texas,46483,264,792,48,113,012101
Census Tract 121.02; Dallas County; Texas,62237,544,318,48,113,012102
Census Tract 122.06; Dallas County; Texas,103036,1637,201,48,113,012206
Census Tract 122.07; Dallas County; Texas,55520,933,1620,48,113,012207
Census Tract 122.08; Dallas County; Texas,32721,0,994,48,113,012208
Census Tract 122.09; Dallas County; Texas,115300,671,333,48,113,012209
Census Tract 122.10; Dallas County; Texas,46376,376,1550,48,113,012210
Census Tract 122.11; Dallas County; Texas,39439,379,1542,48,113,012211
Census Tract 122.12; Dallas County; Texas,71895,840,531,48,113,012212
Census Tract 122.13; Dallas County; Texas,87417,876,87,48,113,012213
Census Tract 123.01; Dallas County; Texas,60317,824,653,48,113,012301
Census Tract 123.02; Dallas County; Texas,44176,926,1683,48,113,012302
Census Tract 124; Dallas County; Texas,77606,1718,437,48,113,012400
Census Tract 125.01; Dallas County; Texas,91189,939,67,48,113,012501
Census Tract 125.02; Dallas County; Texas,58068,736,368,48,113,012502
Census Tract 126.01; Dallas County; Texas,54651,882,846,48,113,012601
Census Tract 126.03; Dallas County; Texas,102155,506,82,48,113,012603
Census Tract 126.04; Dallas County; Texas,49922,304,2188,48,113,012604
Census Tract 127.01; Dallas County; Texas,60776,1120,875,48,113,012701
Census Tract 127.02; Dallas County; Texas,60855,670,321,48,113,012702
Census Tract 128.01; Dallas County; Texas,80420,718,253,48,113,012801
Census Tract 128.02; Dallas County; Texas,130000,1586,560,48,113,012802
Census Tract 129; Dallas County; Texas,144375,1542,417,48,113,012900
Census Tract 130.05; Dallas County; Texas,134519,1353,424,48,113,013005
Census Tract 130.07; Dallas County; Texas,89537,939,363,48,113,013007
Census Tract 130.08; Dallas County; Texas,127841,779,348,48,113,013008
Census Tract 130.09; Dallas County; Texas,100345,943,680,48,113,013009
Census Tract 130.10; Dallas County; Texas,40125,161,2397,48,113,013010
Census Tract 130.11; Dallas County; Texas,51406,92,1744,48,113,013011
Census Tract 130.12; Dallas County; Texas,180293,886,211,48,113,013012
Census Tract 130.13; Dallas County; Texas,179330,1405,154,48,113,013013
