"mohcd_development_id","development_name","marketing_address","marketing_zip_code","supervisor_district","city_analysis_marketing","planning_neighborhood","ocii_project_area","lead_agency_account_name","tenure","project_status","development_type","general_housing_program","housing_program_program_name","multiphase_or_multisite_project_name","estimated_actual_construction","total_project_units","income_restricted_resid_units","sro_units_rollup","studios_units_rollup","_1_bedroom_units_rollup","_2_bedroom_units_rollup","_3_bedroom_units_rollup","_4_bedroom_units_rollup","_5_bedroom_units_rollup","treatment_beds","senior_units_rollup","tay_units_rollup","homeless_units_rollup","losp_units_rollup","vash_units_rollup","latitude","longitude","location"
"2018-011","603 Tennessee","603 Tennessee St","94107","10","Potrero Hill","Potrero Hill","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2023-06-23T00:00:00.000","3","3","0","1","0","2","0","0","0","0","0","0","0","0","0","37.76400518","-122.3894627","POINT (-122.3894627 37.76400518)"
"2010-019","616 20th","616 20th St","94107","10","Potrero Hill","Potrero Hill","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2013-11-21T00:00:00.000","2","2","0","0","1","1","0","0","0","0","0","0","0","0","0","37.76066016","-122.3879064","POINT (-122.3879064 37.76066016)"
"1982-012","620 Lake","620 Lake St","94118","1","Inner Richmond","Inner Richmond","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","Rehabilitation","Other Ownership Programs","Condo Conversion Program",,"2018-05-08T00:00:00.000","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","37.78683022","-122.4661907","POINT (-122.4661907 37.78683022)"
"2014-002","626 Mission Bay Family Housing","626 Mission Bay Blvd North","94158","6","Mission Bay","South of Market","Mission Bay","OCII","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program","Mission Bay South","2018-10-15T00:00:00.000","144","143","0","0","53","47","43","0","0","0","0","0","29","17","0","37.77110713","-122.3916814","POINT (-122.3916814 37.77110713)"
"2023-005","629 Post","629 Post St","94102","3","Tenderloin","Downtown/Civic Center","Not in an OCII Project Area","MOHCD","Rental","Building Rehabilitation (Construction)","Rehabilitation","MOHCD 100% Affordable (Preservation)","Big Sites Program",,"2026-11-05T00:00:00.000","62","62","43","0","0","0","0","0","0","0","0","0","0","0","20","37.78761864","-122.4121227","POINT (-122.4121227 37.78761864)"
"2002-008","638 19th","638 19th St","94107","10","Potrero Hill","Potrero Hill","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2010-03-26T00:00:00.000","2","2","0","0","0","0","2","0","0","0","0","0","0","0","0","37.76189884","-122.3890266","POINT (-122.3890266 37.76189884)"
"2017-004","63 Lapidge Street","63 Lapidge St","94110","9","Mission","Mission","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (Preservation)","Small Sites Program",,"2018-06-15T00:00:00.000","6","6","0","0","6","0","0","0","0","0","0","0","0","0","0","37.76066455","-122.4220547","POINT (-122.4220547 37.76066455)"
"2015-040","642 - 646 Guerrero","642-646 Guerrero St","94110","8","Mission","Mission","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (Preservation)","Small Sites Program",,"2016-12-08T00:00:00.000","4","4","0","0","3","1","0","0","0","0","0","0","0","0","0","37.76079488","-122.4239828","POINT (-122.4239828 37.76079488)"
"2018-044","654 Capp","652-658 Capp St","94110","9","Mission","Mission","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (Preservation)","Small Sites Program",,"2021-06-17T00:00:00.000","7","7","0","1","5","0","1","0","0","0","0","0","0","0","0","37.75620108","-122.4179862","POINT (-122.4179862 37.75620108)"
"2018-043","65-69 Woodward","65-69 Woodward St","94103","9","Mission","Mission","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (Preservation)","Small Sites Program",,"1991-03-07T00:00:00.000","6","6","0","0","0","6","0","0","0","0","0","0","0","0","0","37.76890253","-122.4205957","POINT (-122.4205957 37.76890253)"
